;;;Behrmann-Stiftung;Behrmann-Stiftung
;;;Beluga Shipping GmbH;Beluga Shipping GmbH
;;;Bender Group;Bender Group
;;;"bene pharmaChem GmbH &amp; Co. KG";"bene pharmaChem GmbH &amp; Co. KG"
;;;Benteler International AG;Benteler International AG
;;;Berghof Products+Instruments GmbH;Berghof Products+Instruments GmbH
;;;Bergische Uni Wuppertal;Bergische Uni Wuppertal
;;;Bergmann Automotive GmbH;Bergmann Automotive GmbH
;;;Berlin-Chemie AG;Berlin-Chemie AG
;;;Berliner Börse AG;Berliner Börse AG
;;;"Bernd Münstermann GmbH &amp; Co. KG";"Bernd Münstermann GmbH &amp; Co. KG"
;;;Berner GmbH Künzelsau;Berner GmbH Künzelsau
;;;Berninghausen Stiftung, Bremen;Berninghausen Stiftung, Bremen
;;;;Berninghausen- Stiftung,Bremen
;;;Bertha Heraeus und Kathinka Platzhoff Stiftung;Bertha Heraeus und Kathinka Platzhoff Stiftung
;;;Berthold-Leibinger-Stiftung;Berthold-Leibinger-Stiftung
;;;Bertrandt AG;Bertrandt AG
;;;Bezirksverband Hannover;Bezirksverband Hannover
;;;BGV / Badische Versicherungen;BGV / Badische Versicherungen
;;;BHF-Bank-Stiftung;BHF-Bank-Stiftung
;;;BHS Corrugated Maschinen- und Anlagenbau GmbH;BHS Corrugated Maschinen- und Anlagenbau GmbH
;;;BHW Immobilien GmbH;BHW Immobilien GmbH
;;;Bierverlag Linden;Bierverlag Linden
;;;Big Dutchmann International GmbH, Vechta-Calveslage;Big Dutchmann International GmbH, Vechta-Calveslage
;;;"Bilfinger &amp; Berger";"Bilfinger &amp; Berger"
;;;;Bilfinger Berger Proj.Invest.
;;;;Bilfinger Berger SE
;;;;"Bilfinger Hochbau GmbH; Bilfinger Berger Parking GmbH"
;;;;Bilfinger Se
;;;;Bilfinger SE, Mannheim
;;;Bilfinger und Berger AG, Fuchs Petrolub AG, MVV Energie AG und Südzucker AG;Bilfinger und Berger AG, Fuchs Petrolub AG, MVV Energie AG und Südzucker AG
;;;Billy Rubin-Förderverein Kindergastroeteologie MHH;Billy Rubin-Förderverein Kindergastroeteologie MHH
;;;;Billy Rubin-Förderv. Kindergastroenteologie MHH
;;;"Bio-Seehotel Zeulenroda GmbH &amp; Co.KG";"Bio-Seehotel Zeulenroda GmbH &amp; Co.KG"
;;;Biofrontera Pharma GmbH;Biofrontera Pharma GmbH
;;;Biologische Heilmittel GmbH;Biologische Heilmittel GmbH
;;;;Biologische Heilmittel Heel
;;;Bionorica, Stadt Neumarkt;Bionorica, Stadt Neumarkt
;;;Biotest AG;Biotest AG
;;;"Biotronik SE &amp; Co.KG, vormals Biotronik GmbH &amp; Co., Berlin";"Biotronik SE &amp; Co.KG, vormals Biotronik GmbH &amp; Co., Berlin"
;;;;Biotronik Vertriebs
;;;BIPP GmbH;BIPP GmbH
;;;Birger Stack Nachlass;Birger Stack Nachlass
;;;Bischöflich-Münstersches Offizialat, Vechta;Bischöflich-Münstersches Offizialat, Vechta
;;;Bischöfliches Ordinariat Mainz;Bischöfliches Ordinariat Mainz
;;;Bitburger Braugruppe GmbH;Bitburger Braugruppe GmbH
;;;Bitzer Kühlmaschinenbau GmbH Sindelfingen;Bitzer Kühlmaschinenbau GmbH Sindelfingen
;;;Björn Engholm, Lübeck;Björn Engholm, Lübeck
;;;Black Horse Investments GmbH;Black Horse Investments GmbH
;;;BLANCO Gruppe;BLANCO Gruppe
;;;BMBF;BMBF
;;;;BMBF (VIRTUHCON-Projekt)
;;;BMW AG;BMW AG
;;;;BMW Group München
;;;Boehringer Ingelheim;Boehringer Ingelheim
;;;;Boehringer Ingelheim GmbH
;;;;"Boehringer Ingelheim Pharma GmbH &amp; Co. KG"
;;;;"Boehringer Ingelheim Pharma GmbH &amp; Co.KG"
;;;;Boehringer Ingelheim Stiftung
;;;Bombardier Transportation GmbH;Bombardier Transportation GmbH
;;;;Fa. Bombardier Transportation
;;;Borsig GmbH;Borsig GmbH
;;;Bosch Solar Energy AG;Bosch Solar Energy AG
;;;Boston Scientific GmbH;Boston Scientific GmbH
;;;BPW Bergische Achsen KG;BPW Bergische Achsen KG
;;;Bracco Imanging Deutschland;Bracco Imanging Deutschland
;;;"Brand Qualitätsfleisch GmbH &amp; Co. KG, Lohne";"Brand Qualitätsfleisch GmbH &amp; Co. KG, Lohne"
;;;Brandenburgischer Verein für Gesundheit;Brandenburgischer Verein für Gesundheit
;;;"Brandes &amp; Diesing";"Brandes &amp; Diesing"
;;;"Brauhaus Ernst August GmbH&amp;Co KG";"Brauhaus Ernst August GmbH&amp;Co KG"
;;;Braunschweiger Hochschulbund;Braunschweiger Hochschulbund
;;;Braunschweiger Zeitungsverlag GmbH;Braunschweiger Zeitungsverlag GmbH
;;;Braunschweigische Landessparkasse;Braunschweigische Landessparkasse
;;;Breitner, Prof. Dr. Michael;Breitner, Prof. Dr. Michael
;;;Bremer Bereederungsges. mbH;Bremer Bereederungsges. mbH
;;;;"Bremer Bereederungsgesellscha ft mbH &amp; Co. KG, Bremen"
;;;Bremer Landesbank;Bremer Landesbank
;;;;Bremer Landesbank Kreditanstalt Oldenburg – Girozentrale -, Bremen
;;;;Bremer Landesbank Kreditanstalt Oldenburg –Girozentrale -, Bremen
;;;;Bremer Landesbank Kreditanstalt Oldenburg–Girozentrale -, Bremen
;;;;Bremer Landesbank, Kreditanstalt Oldenburg–Girozentrale -, Bremen
;;;Bremer Landesbank, Städt. Sparkasse Bremerhaven, Germanischer Lloyd AG;Bremer Landesbank, Städt. Sparkasse Bremerhaven, Germanischer Lloyd AG
;;;Bremer Rhederverein e.V.;Bremer Rhederverein e.V.
;;;Bristol Myers;Bristol Myers
;;;Britax Group Ltd.;Britax Group Ltd.
;;;British American Tobacco (Germany) GmbH / 20354 Hamburg;British American Tobacco (Germany) GmbH / 20354 Hamburg
;;;Broering, Udo;Broering, Udo
;;;"Brose Fahrzeugteile GmbH &amp; Co. KG";"Brose Fahrzeugteile GmbH &amp; Co. KG"
;;;Brunel GmbH;Brunel GmbH
;;;BS Energy;BS Energy
;;;;BS-Energy
;;;BTC AG, Bülent Uzuner;BTC AG, Bülent Uzuner
;;;Bücher Beckwermert;Bücher Beckwermert
;;;Buchhandlung Zur Heide;Buchhandlung Zur Heide
;;;Büchl Entsorgungswirtschaft GmbH;Büchl Entsorgungswirtschaft GmbH
;;;Buckstay GmbH;Buckstay GmbH
;;;Bühler GmbH;Bühler GmbH
;;;;Bühler Motoren GmbH Nürnberg
;;;Bund Deutscher Architekten;Bund Deutscher Architekten
;;;Bundesagentur für Arbeit;Bundesagentur für Arbeit
;;;;Bundesagentur für Arbeit - Institut für Arbeitsmarkt- und Berufsforschung (IAB)
;;;Bundesamt für Strahlenschutz, Universitätsklinikum Mannheim gGmbH;Bundesamt für Strahlenschutz, Universitätsklinikum Mannheim gGmbH
;;;Bundesdruckerei;Bundesdruckerei
;;;Bundesland Saarland;Bundesland Saarland
;;;Bundesministerium für Bildung und Forschung;Bundesministerium für Bildung und Forschung
;;;Bundesverband der deutschen Kalkindustrie;Bundesverband der deutschen Kalkindustrie
;;;Bundesvereinigung Verhaltenstherapie im Kindesund Jugendalter e.V.;Bundesvereinigung Verhaltenstherapie im Kindesund Jugendalter e.V.
;;;Bürger AG;Bürger AG
;;;Bürgerstiftung Braunschweig (Ostfalia Hochschulstiftung);Bürgerstiftung Braunschweig (Ostfalia Hochschulstiftung)
;;;"Burgmann Industries GmbH &amp; Co. KG";"Burgmann Industries GmbH &amp; Co. KG"
;;;Büro für Umweltfragen;Büro für Umweltfragen
;;;buw Consulting GmbH;buw Consulting GmbH
;;;;buw Holding GmbH
;;;BVK Auslandszahlungsverk.;BVK Auslandszahlungsverk.
;;;BWV Berufsbildungswerk der dtsch. Versicherungswirtschaft Oldenburg;BWV Berufsbildungswerk der dtsch. Versicherungswirtschaft Oldenburg
;;;C. Melchers GmbH Co. KG, Bremen;C. Melchers GmbH Co. KG, Bremen
;;;C.H. Beck Stiftung GmbH;C.H. Beck Stiftung GmbH
;;;C.R.Bard GmbH;C.R.Bard GmbH
;;;Cameron GmbH;Cameron GmbH
;;;CANCOM SE;CANCOM SE
;;;Caparol-Gruppe, Knauf Gips KG;Caparol-Gruppe, Knauf Gips KG
;;;Capgemini Deutschland GmbH;Capgemini Deutschland GmbH
;;;;"Capgemini sd&amp;m AG"
;;;Capsid;Capsid
;;;Carl Friedrich von Siemens Stiftung;Carl Friedrich von Siemens Stiftung
;;;Carl Zeiss AG;Carl Zeiss AG
;;;;Carl Zeiss Jena GmbH
;;;;Carl Zeiss Stiftung
;;;;Carl-Zeiss-Stiftung
;;;Carlo und Karin Giersch-Stiftung;Carlo und Karin Giersch-Stiftung
;;;Carsten J. Maschmeyer;Carsten J. Maschmeyer
;;;;Carsten Maschmeyer
;;;Cartiva Inc.;Cartiva Inc.
;;;"Carus-Verlag GmbH &amp; Co KG";"Carus-Verlag GmbH &amp; Co KG"
;;;CD Adapco;CD Adapco
;;;cd Personalmanagement;cd Personalmanagement
;;;CE-LAB GmbH;CE-LAB GmbH
;;;Cell Pharm GmbH;Cell Pharm GmbH
;;;"Cendres &amp; Métaux SA";"Cendres &amp; Métaux SA"
;;;Centerspace Deutschland GmbH;Centerspace Deutschland GmbH
;;;CEO Industry Sector Siemens AG;CEO Industry Sector Siemens AG
;;;CEO Osypka AG;CEO Osypka AG
;;;Cetoni GmbH;Cetoni GmbH
;;;CEWE COLOAR AG;CEWE COLOAR AG
;;;;"CeWe Color AG &amp; Co.OHG"
;;;CF-Selbsthilfe e.V. Braunschweig;CF-Selbsthilfe e.V. Braunschweig
;;;CFO Zalando GmbH;CFO Zalando GmbH
;;;Ch.Büter Präzisionswerkzeug- Elemente GmbH;Ch.Büter Präzisionswerkzeug- Elemente GmbH
;;;Charcot-Stiftung;Charcot-Stiftung
;;;Checkpoint Charly Stiftung, Berlin;Checkpoint Charly Stiftung, Berlin
;;;Chefredakteur der „WAZ Westdeutsche Allgemeine Zeitung“;Chefredakteur der „WAZ Westdeutsche Allgemeine Zeitung“
;;;"Chemnitzer Zahnradfabrik GmbH &amp; Co. KG";"Chemnitzer Zahnradfabrik GmbH &amp; Co. KG"
;;;Chiesi GmbH;Chiesi GmbH
;;;Chr. Hansen GmbH;Chr. Hansen GmbH
;;;Christoffers, Jens;Christoffers, Jens
;;;CIC Group Immobilienentwicklungsgesellschaft mbH Berlin;CIC Group Immobilienentwicklungsgesellschaft mbH Berlin
;;;CIN;CIN
;;;"Cine Plus Media Service GmbH &amp; Co.KG";"Cine Plus Media Service GmbH &amp; Co.KG"
;;;City Solar AG;City Solar AG
;;;CKC AG;CKC AG
;;;CLAAS KGaA mbH;CLAAS KGaA mbH
;;;Clariant Produkte Deutschland GmbH (ursprünglich Süd-Chemie AG);Clariant Produkte Deutschland GmbH (ursprünglich Süd-Chemie AG)
;;;Claudia von Schilling Foundation;Claudia von Schilling Foundation
;;;Claus Detjen;Claus Detjen
;;;Claussen-Simon-Stiftung;Claussen-Simon-Stiftung
;;;;Claussen-Simon-Stiftung / 22767 Hamburg
;;;Clementia e.V.;Clementia e.V.
;;;CNC Speedform AG;CNC Speedform AG
;;;CNC-Steuerung;CNC-Steuerung
;;;codematix GmbH;codematix GmbH
;;;Cognis;Cognis
;;;Coherent GmbH;Coherent GmbH
;;;Comes Unternehmensberatung;Comes Unternehmensberatung
;;;Commerzbank AG;Commerzbank AG
;;;;Commerzbank Group Human Resources
;;;;Commerzbankstiftung
;;;Competence Consulting;Competence Consulting
;;;Computer-Dienst Jena GmbH;Computer-Dienst Jena GmbH
;;;Concordia Versicherungsgruppe AG;Concordia Versicherungsgruppe AG
;;;Conrad Naber Stiftung, Bremen;Conrad Naber Stiftung, Bremen
;;;;Conrad-Naber-Stiftung
;;;Continental AG;Continental AG
;;;;Continental AG, Hannover
;;;Continental Reifen;Continental Reifen
;;;Cook Deutschland GmbH;Cook Deutschland GmbH
;;;CoPiloten GmbH;CoPiloten GmbH
;;;Cordea Savills GmbH;Cordea Savills GmbH
;;;Covidien GmbH;Covidien GmbH
;;;Creo Media;Creo Media
;;;CSL Behring GmbH;CSL Behring GmbH
;;;CVRX Inc.;CVRX Inc.
;;;CyBio AG;CyBio AG
;;;Cytyc Limited Partnership;Cytyc Limited Partnership
;;;"D. Oltmann Reederei GmbH &amp; Co. KG, Bremen";"D. Oltmann Reederei GmbH &amp; Co. KG, Bremen"
;;;;"D.Oltmannn Reederei GmbH &amp; Co.KG, Bremen"
;;;"D.H.W Schultz&amp; Sohn";"D.H.W Schultz&amp; Sohn"
;;;"Dachser GmbH &amp; Co. KG";"Dachser GmbH &amp; Co. KG"
;;;Dähn, Jörg;Dähn, Jörg
;;;Daiichi Sankyo Deutschland;Daiichi Sankyo Deutschland
;;;Daimler AG;Daimler AG
;;;;Daimler Benz AG
;;;;Daimler Chrysler-Fonds
;;;;Daimler Financial Services
;;;;Daimler Society and Technology Research Group
;;;;Daimler-Fonds beim Stifterverband für die Deutsche Wissenschaft
;;;;Daimler-Fonds im Deutschen Stiftungszentrum GmbH, Essen
;;;;DaimlerChrysler-Fonds im Stifterverband für die Deutsche Wissenschaft
;;;;Stifterverband für die Deutsche Wissenschaft/Daimler Fond
;;;;"Stifterverband für die deutsche Wissenschaft; Stiftungsfonds Daimler-Benz"
;;;;"Stifterverband für die deutsche Wissenschaft; DaimlerChrysler Fonds beim Stifterverband"
;;;;Stifterverband für die Deutsche Wissenschaft (DaimlerChrysler)
;;;;Mercedes-Benz Vans
;;;Damien Hirst ESQ;Damien Hirst ESQ
;;;"DAUN &amp; CIE AG";"DAUN &amp; CIE AG"
;;;Deutsche Bahn;Deutsche Bahn
;;;;DB Mobility Logistics AG
;;;;DB Netz AG
;;;;DB Netz AG Hannover
;;;;"DB RegioNetz Verkehrs GmbH; DB RegioNetz Infrastruktur GmbH"
;;;;Deutsche Bahn AG
;;;;Deutsche Bahn Mobility Logistics AG
;;;;Deutsche Bahn Regio
;;;DCA Instruments;DCA Instruments
;;;DCS Innovative Diag.-Sys.;DCS Innovative Diag.-Sys.
;;;debis Immobilienmanagement;debis Immobilienmanagement
;;;"Deere &amp; Company";"Deere &amp; Company"
;;;"Dehner GmbH&amp;Co.KG";"Dehner GmbH&amp;Co.KG"
